Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade_Value_(US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,2785792105,,14743488116,,,6
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,0,,16453478646,,,6
H5,2019,2019,2019,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,2893546818,,16243211144,,,6
H4,2012,2012,2012,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,,,12772419204,,,0
H4,2013,2013,2013,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,1036941155,,13239681196,,,4
H4,2014,2014,2014,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,1076536023,,13142997448,,,4
H4,2015,2015,2015,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,976597558,,12491824998,,,4
H4,2016,2016,2016,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,1213298162,,13120715682,,,4
H3,2007,2007,2007,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,848091568,,8219712074,,,4
H3,2008,2008,2008,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,889387994,,9579055226,,,4
