Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade_Value_(US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,71405449,,1243450071,,,4
H5,2018,2018,2018,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,75234877,,1342895428,,,4
H5,2019,2019,2019,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,67878510,,1234144985,,,4
H4,2012,2012,2012,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,98997816,,1916483070,,,4
H4,2013,2013,2013,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,84884673,,1582708899,,,4
H4,2014,2014,2014,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,83663258,,1537766497,,,4
H4,2015,2015,2015,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,68248407,,1182350512,,,4
H4,2016,2016,2016,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,71239343,,1228128465,,,4
H3,2007,2007,2007,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,100855471,,1584918940,,,4
H3,2008,2008,2008,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,90282194,,1636545783,,,4
H3,2009,2009,2009,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,64523485,,1240221226,,,4
H3,2010,2010,2010,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,102871347,,1933517269,,,4
H3,2011,2011,2011,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,107392527,,2083201711,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,,,817354846,,,0
H2,2003,2003,2003,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,,,907761612,,,0
H2,2004,2004,2004,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,,,1162216391,,,0
H2,2005,2005,2005,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,77645977,,1131496482,,,0
H2,2006,2006,2006,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,85472620,,1283437257,,,4
H1,1996,1996,1996,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,3355214,,,,0,,1728139880,,,0
H1,1997,1997,1997,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,3203658,,,,0,,1547195298,,,0
H1,1998,1998,1998,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,3183075,,,,0,,1243714445,,,0
H1,1999,1999,1999,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,3456414,,,,0,,1262741660,,,0
H1,2000,2000,2000,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,99596049,,1310780246,,,4
H1,2001,2001,2001,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,75469531,,982496225,,,4
H0,1988,1988,1988,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,2677997,,,,0,,1062172182,,,0
H0,1989,1989,1989,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,2694788,,,,0,,1147126089,,,0
H0,1990,1990,1990,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,2996386,,,,0,,1287659532,,,0
