Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade_Value_(US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,195863348,,2305053716,,,4
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,,,2678813718,,,6
H5,2019,2019,2019,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,229594269,,2684302451,,,4
H4,2012,2012,2012,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,246908180,,2963784203,,,4
H4,2013,2013,2013,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,252955931,,2972720838,,,4
H4,2014,2014,2014,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,231346685,,2732348453,,,4
H4,2015,2015,2015,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,189946471,,2293913087,,,4
H4,2016,2016,2016,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,203736861,,2232464774,,,4
H3,2007,2007,2007,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,154723797,,1471372568,,,4
H3,2008,2008,2008,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,169284153,,1830565049,,,4
H3,2009,2009,2009,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,157380430,,1842520286,,,4
H3,2010,2010,2010,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,195438101,,2287123084,,,4
H3,2011,2011,2011,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,250377222,,2850987631,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,74907926,,716483949,,,4
H2,2003,2003,2003,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,78922792,,772942798,,,4
H2,2004,2004,2004,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,105404303,,1042525228,,,4
H2,2005,2005,2005,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,143073335,,1320098104,,,0
H2,2006,2006,2006,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,144994825,,1372796510,,,4
H1,1996,1996,1996,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,1529906,,,,0,,330322025,,,0
H1,1997,1997,1997,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,1507585,,,,0,,322487611,,,0
H1,1998,1998,1998,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,1141558,,,,0,,231586760,,,0
H1,1999,1999,1999,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,1282791,,,,0,,275416994,,,0
H1,2000,2000,2000,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,31798422,,323729034,,,4
H1,2001,2001,2001,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,57191015,,534446987,,,4
H0,1988,1988,1988,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,181846,,,,0,,48002864,,,0
H0,1989,1989,1989,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,230813,,,,0,,64004302,,,0
H0,1990,1990,1990,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,229156,,,,0,,67353556,,,0
H0,1991,1991,1991,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,806316,,,,0,,221910275,,,0
H0,1992,1992,1992,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,1319120,,211200595,,,0
H0,1993,1993,1993,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,924774,,,,0,,250744423,,,0
H0,1994,1994,1994,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,921018,,,,0,,201479473,,,0
H0,1995,1995,1995,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,1381438,,,,0,,309549380,,,0
