Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade_Value_(US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,0,,2566335900,,,6
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,0,,2673213429,,,6
H5,2019,2019,2019,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,0,,2651245914,,,6
H4,2012,2012,2012,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,146412965,,2494547412,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,158564638,,2699858947,,,4
H4,2014,2014,2014,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,158499213,,2686188928,,,4
H4,2015,2015,2015,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,153927840,,2759964202,,,4
H4,2016,2016,2016,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,0,,2735780847,,,6
H3,2007,2007,2007,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,175408361,,2297502650,,,4
H3,2008,2008,2008,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,163219377,,2355457159,,,4
H3,2009,2009,2009,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,118047737,,1914900785,,,4
H3,2010,2010,2010,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,147086609,,2332102451,,,4
H3,2011,2011,2011,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,160913100,,2338443014,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,,,2154578518,,,0
H2,2003,2003,2003,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,,,2058824022,,,0
H2,2004,2004,2004,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,,,2016286104,,,0
H2,2005,2005,2005,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,,,2131527252,,,0
H2,2006,2006,2006,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,,,2288875360,,,0
H1,1996,1996,1996,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,5088340,,,,0,,2101797488,,,0
H1,1997,1997,1997,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,2284864028,,,0
H1,1998,1998,1998,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,2316516145,,,0
H1,1999,1999,1999,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,2346418934,,,0
H1,2000,2000,2000,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,,,2391273133,,,0
H1,2001,2001,2001,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,217557001,,2215772306,,,4
H0,1991,1991,1991,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,1528790889,,,0
H0,1992,1992,1992,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,4497081,,,,0,,1633424880,,,0
H0,1993,1993,1993,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,1690888438,,,0
H0,1994,1994,1994,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,6201669,,,,0,,1792061263,,,0
H0,1995,1995,1995,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,1945681280,,,0
