Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade_Value_(US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,542603466,,7973728046,,,6
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,,,9268238809,,,6
H5,2019,2019,2019,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,,,9163616154,,,6
H4,2012,2012,2012,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,382590421,,5519117800,,,4
H4,2013,2013,2013,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,409530667,,6042961108,,,4
H4,2014,2014,2014,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,479972760,,7114057495,,,4
H4,2015,2015,2015,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,,,,,442046450,,6825458509,,,4
H4,2016,2016,2016,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",1,No Quantity,0,,,,514140720,,7282642629,,,6
H3,2007,2007,2007,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,405609393,,3995940751,,,4
H3,2008,2008,2008,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,332617736,,3843208182,,,4
H3,2009,2009,2009,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,232291885,,3050187770,,,4
H3,2010,2010,2010,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,271529233,,3749456655,,,4
H3,2011,2011,2011,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,361349495,,4772337811,,,4
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,247183836,,2274665214,,,4
H2,2003,2003,2003,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,280173598,,2668139473,,,4
H2,2004,2004,2004,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,276302212,,2779641173,,,4
H2,2005,2005,2005,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,302269050,,3120445144,,,4
H2,2006,2006,2006,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan",1,No Quantity,,,,,368706738,,3719370628,,,4
H1,1996,1996,1996,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,1375369807,,,0
H1,1997,1997,1997,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,1285169067,,,0
H1,1998,1998,1998,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,1359969382,,,0
H1,1999,1999,1999,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,1695586922,,,0
H1,2000,2000,2000,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,202195502,,1939025596,,,4
H1,2001,2001,2001,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,,,,,206075453,,1885517566,,,4
H0,1991,1991,1991,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,2575886,,,,0,,596641056,,,0
H0,1992,1992,1992,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,2835636,,,,0,,717575246,,,0
H0,1993,1993,1993,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",5,Number of items,2776104,,,,0,,761354239,,,0
H0,1994,1994,1994,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,973922153,,,0
H0,1995,1995,1995,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8415,"Air conditioning equipment, machinery",1,No Quantity,0,,,,0,,1125011840,,,0
